id,top_list_id,vintage_id,rank,previous_rank
1,201650,1161459,7,7
2,201850,1161459,3,3
3,201950,1161459,3,3
4,202050,1161459,1,1
5,2019264,93707,2,2
6,2020264,93707,2,2
7,2018264,2641965,2,2
8,2020292,6880159,1,1
9,201647,6988511,1,1
10,2019292,6988511,2,2
11,201650,1688597,6,6
12,2019289,14187320,1,1
13,2018264,1347152,5,5
14,2019264,1347152,6,6
15,201647,1316676,5,5
16,2019292,1316676,3,3
17,2020292,1316676,2,2
18,20169,1418050,2,2
19,20199,1411331,1,1
20,20209,1411331,2,2
21,20173,1292680,2,2
22,201850,1411312,7,7
23,202050,1411312,3,3
24,2016262,2765008,4,4
25,201647,752644,2,2
26,201747,752644,3,3
27,201747,6457741,1,1
28,20203,1152340,2,2
29,201750,1527879,3,3
30,2017264,3887212,3,3
31,2019301,105812,3,3
32,2020301,105812,1,1
33,2018292,7372117,1,1
34,2016212,1602232,1,1
35,2017212,1602232,1,1
36,201950,90829,5,5
37,202050,90829,5,5
38,2019263,1409704,1,1
39,20165,1209030,1,1
40,2018301,1738719,1,1
41,20183,108888,4,4
42,2019130,5887447,4,4
43,2020130,5887447,3,3
44,201722,4505060,2,2
45,201822,4505060,3,3
46,2020180,14284207,3,3
47,2020999,164942599,6,6
48,2020292,85559438,10,10
49,2017999,1485238,6,6
50,2019999,1485238,5,5
51,2020999,1485238,7,7
52,20179,2645641,4,4
53,2711045,152069724,15,10
54,5204744,152069724,2,9
55,201696,1597812,1,1
56,201747,6413907,8,8
57,2018292,6413907,3,3
58,2019292,6413907,6,6
59,20185,1215922,1,1
60,2019265,1745897,2,2
61,2020265,1745897,1,1
62,2019263,1687138,2,2
63,2020263,1687138,2,2
64,202098,20315417,6,6
65,2020292,2692143,5,5
66,201822,10762842,5,5
67,2019267,1192712,4,4
68,2020267,1192712,3,3
69,2018128,72274,1,1
70,20187,1543251,4,4
71,20197,1543251,2,2
72,20207,1543251,3,3
73,20197,5128110,9,9
74,2019292,17274641,10,10
75,2020292,17274641,8,8
76,20189,1369680,2,2
77,2020402,1776981,1,1
78,201650,2674920,10,10
79,2019267,1313679,2,2
80,2020267,1313679,5,5
81,201922,12776766,8,8
82,2020290,25043149,9,9
83,201647,3494838,6,6
84,2016131,5818464,1,1
85,2020267,1362347,8,8
86,202098,152326341,5,5
87,201822,1281955,6,6
88,2074986,150263185,5,12
89,4203674,150263185,14,14
90,6693819,150263185,6,5
91,2017999,1554466,9,9
92,2019999,1554466,10,10
93,2508363,164943169,5,9
94,3008569,164943169,15,13
95,5204110,164943169,10,3
96,2074985,159927462,8,14
97,6435577,162964134,1,11
98,6955558,162964134,9,3
99,7005853,162964134,6,10
100,2018236,2038565,3,3
101,2018292,1186199,4,4
102,202094,4488574,1,1
103,6071923,162906889,5,
104,13711050,162906889,15,3
105,5217406,160025063,12,6
106,2550416,3443678,3,8
107,201622,10343,4,4
108,2019999,6618225,9,9
109,2016236,108891,1,1
110,2017236,108891,2,2
111,2016130,1780187,4,4
112,20167,3325624,2,2
113,20177,3325624,4,4
114,20187,3325624,8,8
115,201822,2320030,10,10
116,2018292,1351130,5,5
117,2017267,1254404,4,4
118,20187,1408644,5,5
119,20209,1289668,4,4
120,2019285,24452999,1,1
121,20167,1206818,3,3
122,20167,85958,9,9
123,20177,85958,8,8
124,20187,85958,9,9
125,20207,85958,7,7
126,20197,1309773,5,5
127,2018292,1242165,7,7
128,2019181,2132704,1,1
129,20205,145183260,4,4
130,2020225,28546280,6,6
131,6435473,159346373,5,5
132,202096,145417624,1,1
133,8919175,1469472,6,12
134,2711045,164942610,16,
135,4203674,85237909,20,1
136,7353297,156270917,1,
137,3008568,150288027,15,
138,9014855,150288027,3,11
139,6437668,165373898,20,10
140,14908876,165373898,10,9
141,6781225,4012169,14,
142,5204110,160549459,1,12
143,2096398,156098276,17,16
144,2508363,156098276,1,4
145,5212192,156098276,19,6
146,5218861,156132702,4,17
147,6736137,156132702,1,1
148,6435579,156396731,16,
149,2018195,2667186,4,4
150,2018206,163312178,1,1
151,2020206,163312178,2,2
152,5209117,159516292,18,5
153,2017264,6916123,10,10
154,6736132,156154317,1,14
155,4710320,156105768,2,15
156,6736134,162912718,18,11
157,2020206,163309912,7,7
158,2019267,1286336,10,10
159,2019130,2980781,5,5
160,8586662,156103267,8,2
161,8627806,156103267,7,4
162,8919175,156103267,9,4
163,9268166,156103267,8,
164,2018266,2817435,7,7
165,2019212,4078241,4,4
166,2020212,4078241,1,1
167,2017122,14665,2,2
168,2019122,14665,2,2
169,201723,1199014,5,5
170,2018301,3912693,2,2
171,5207792,163212174,19,8
172,201716,6635103,3,3
173,201816,6635103,6,6
174,20195,14680403,10,10
175,6435470,156114217,14,
176,20177,1148143,9,9
177,2016130,2969590,8,8
178,201916,6417395,7,7
179,2019177,27135245,1,1
180,2020177,27135245,1,1
181,2019208,5056373,7,7
182,6781225,159385168,6,11
183,6736132,168557072,20,18
184,6435469,169087512,19,20
