id,name,is_natural,region_id,winery_id,ratings_average,ratings_count,url,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,Sparkling Sweetness
1213,Vin Santo di Montepulciano,0,2693,1574,4.6,773,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10AVVS92H,High,Non-Sparkling,Medium,High,,0.0,
1268,St. Henri Shiraz,0,7,1305,4.4,17326,https://www.wijnig.nl/penfolds-st-henri-shiraz-2018.html,Low,Non-Sparkling,High,High,Medium,1309.0,
1471,Siepi,0,394,1620,4.4,8129,https://www.topwijnen.be/nl/product/wijnen/italie/toscane/igt-toscane/wn6010264/wn6010264,Low,Non-Sparkling,Low,Medium,Low,755.0,
1647,Solare Toscana,0,394,4772,4.2,4961,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001658,Low,Non-Sparkling,Low,Medium,Medium,485.0,
1651,Tenuta Tignanello 'Solaia',0,394,1252,4.6,33143,http://www.vivino.com/wines/159347388,Low,Non-Sparkling,Low,Medium,Low,2131.0,
1652,Tignanello,0,394,1252,4.5,142513,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10ANTI89B,Low,Non-Sparkling,Low,Medium,Low,8219.0,
1658,Tenuta Guado al Tasso Bolgheri Superiore,0,3345,1252,4.5,33392,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10TBGT98M,Medium,Non-Sparkling,Medium,Medium,High,791.0,
1675,Pian delle Vigne Brunello di Montalcino,0,1796,1252,4.3,31363,https://www.wereldwijnonline.be/pian-delle-vigne-brunello-di-montalcino-2013-tosca.html,Medium,Non-Sparkling,Low,Low,Medium,1176.0,
1688,Castello della Sala Cervaro della Sala,0,488,1252,4.4,30203,https://www.seulementproduitsitaliens.be/vino/antinori-tenuta-castello-della-sala/143-antinori-castello-della-sala-cervaro-della-sala.html?codice=ANT009-2021,Medium,Non-Sparkling,Low,High,,1089.0,
1690,Castello della Sala Muffato della Sala,0,488,1252,4.3,6356,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20ANMU18B,,Non-Sparkling,,,,,
1697,Chardonnay,0,25,1300,4.3,18694,https://www.grandcruwijnen.nl/2019-chateau-montelena-chardonnay,Low,Non-Sparkling,High,High,,316.0,
1835,Amarone della Valpolicella Classico,0,3237,1933,4.4,18720,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20BEAM00B,Low,Non-Sparkling,High,High,Low,518.0,
1868,Nicolás Catena Zapata,0,454,1437,4.4,28227,http://www.vivino.com/wines/159644551,Low,Non-Sparkling,High,Medium,Medium,771.0,
1869,Malbec Argentino,0,454,1437,4.4,47435,https://www.grandcruwijnen.nl/2020-bodegas-catena-zapata-argentino-malbec,Low,Non-Sparkling,Medium,High,Low,5360.0,
2187,Alàuda,0,394,1233,4.5,670,https://www.wereldwijnonline.be/alauda-igt-toscana-2015-italie-rode-wijn.html,Low,Non-Sparkling,Medium,High,Medium,67.0,
